timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta
1777312811.5561106,0.5247310527329838,4.1924366366167565,1.2389000000000001,4.258,80.24010868172161,81.6419620564755
1777312811.6241417,0.5162634852860722,4.200154196336075,1.2389000000000001,4.258,80.06965642744179,81.6419620564755
1777312811.692142,0.5263325902772676,4.211269606306078,1.2389000000000001,4.258,80.154589967748,81.6419620564755
1777312811.692142,0.5263325902772676,4.211269606306078,1.2435999999999998,4.2726999999999995,80.154589967748,81.6419620564755
1777312811.692142,0.5263325902772676,4.211269606306078,1.2435999999999998,4.2726999999999995,80.154589967748,81.74167494428889
1777312811.7261336,0.5261198790696174,4.225001644162655,1.2435999999999998,4.2726999999999995,80.19077988794447,81.74167494428889
1777312811.794158,0.5164800644994656,4.230015968828019,1.2435999999999998,4.2726999999999995,80.07854355594995,81.74167494428889
1777312811.794158,0.5164800644994656,4.230015968828019,1.2481,4.287100000000001,80.07854355594995,81.74167494428889
1777312811.794158,0.5164800644994656,4.230015968828019,1.2481,4.287100000000001,80.07854355594995,81.65749841780496
1777312811.8621318,0.5247462137431261,4.23791801346214,1.2481,4.287100000000001,80.18296847874873,81.65749841780496
1777312811.8961852,0.5188368318868957,4.245936699025954,1.2481,4.287100000000001,79.93164549889326,81.65749841780496
1777312811.8961852,0.5188368318868957,4.245936699025954,1.2527000000000001,4.3019,79.93164549889326,81.65749841780496
1777312811.8961852,0.5188368318868957,4.245936699025954,1.2527000000000001,4.3019,79.93164549889326,81.76845706580934
1777312811.9641457,0.5247781217911727,4.2574453605106495,1.2527000000000001,4.3019,80.22994909204682,81.76845706580934
1777312811.9641457,0.5247781217911727,4.2574453605106495,1.2578,4.3161000000000005,80.22994909204682,81.76845706580934
1777312811.9641457,0.5247781217911727,4.2574453605106495,1.2578,4.3161000000000005,80.22994909204682,81.67480387486592
1777312811.999421,0.5263724944668977,4.264506150259856,1.2578,4.3161000000000005,80.19594031229073,81.67480387486592
1777312812.0675886,0.5227363623542375,4.277019611182763,1.2578,4.3161000000000005,80.03178223428328,81.67480387486592
1777312812.0675886,0.5227363623542375,4.277019611182763,1.2621,4.3309,80.03178223428328,81.67480387486592
1777312812.0675886,0.5227363623542375,4.277019611182763,1.2621,4.3309,80.03178223428328,81.73219005794704
1777312812.1376123,0.5250230275196155,4.282359696493443,1.2621,4.3309,80.13283952784131,81.73219005794704
1777312812.1376123,0.5250230275196155,4.282359696493443,1.2669000000000001,4.3453,80.13283952784131,81.73219005794704
1777312812.2063725,0.53686634646483,4.293592568333481,1.2669000000000001,4.3453,80.24769358974528,81.73219005794704
1777312812.274151,0.533502368785642,4.304763104512083,1.2669000000000001,4.3453,80.18512841497981,81.73219005794704
1777312812.274151,0.533502368785642,4.304763104512083,1.2717,4.361,80.18512841497981,81.73219005794704
1777312812.308161,0.528404448741148,4.308024247837031,1.2717,4.361,80.17693461841229,81.73219005794704
1777312812.3773499,0.530046165379594,4.3183747345206935,1.2717,4.361,80.11124498213076,81.73219005794704
1777312812.3773499,0.530046165379594,4.3183747345206935,1.2767,4.376,80.11124498213076,81.73219005794704
1777312812.3773499,0.530046165379594,4.3183747345206935,1.2767,4.376,80.11124498213076,81.78139925556025
1777312812.446177,0.5348547381258769,4.329455442663815,1.2767,4.376,80.16843610576419,81.78139925556025
1777312812.480335,0.5435245699994846,4.337177037556454,1.2767,4.376,80.3725319603206,81.78139925556025
1777312812.480335,0.5435245699994846,4.337177037556454,1.2812000000000001,4.3903,80.3725319603206,81.78139925556025
1777312812.480335,0.5435245699994846,4.337177037556454,1.2812000000000001,4.3903,80.3725319603206,81.70512361293441
1777312812.5482035,0.5344988299766268,4.345138577986377,1.2812000000000001,4.3903,80.14431860790033,81.70512361293441
1777312812.6174982,0.5486841745003583,4.352285718965855,1.2812000000000001,4.3903,80.44095726743153,81.70512361293441
1777312812.6174982,0.5486841745003583,4.352285718965855,1.2862,4.4052,80.44095726743153,81.70512361293441
1777312812.6174982,0.5486841745003583,4.352285718965855,1.2862,4.4052,80.44095726743153,81.84593400988348
1777312812.6523018,0.5399023158710085,4.358233181461782,1.2862,4.4052,80.22542246732463,81.84593400988348
1777312812.6523018,0.5399023158710085,4.358233181461782,1.2907,4.4197,80.22542246732463,81.84593400988348
1777312812.7201982,0.547779502933882,4.367671267219269,1.2907,4.4197,80.4457092236739,81.84593400988348
1777312812.7201982,0.547779502933882,4.367671267219269,1.2907,4.4197,80.4457092236739,81.75224588463402
1777312812.788296,0.5481238459071699,4.377829673524518,1.2907,4.4197,80.29249848846285,81.75224588463402
1777312812.788296,0.5481238459071699,4.377829673524518,1.2955,4.4348,80.29249848846285,81.75224588463402
1777312812.788296,0.5481238459071699,4.377829673524518,1.2955,4.4348,80.29249848846285,81.82133033293076
