timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta,driven_dist_m,xy_euclidean_error_m,x_error_m,y_error_m,yaw_error_deg
1777312769.1468,0.000023,0.002662,0.000100,-0.000000,89.9982,90.0000,0.0018,0.002663,-0.000077,0.002662,-0.0018
1777312769.1807,0.011938,0.006511,0.000100,-0.000000,90.2151,90.0000,0.0018,0.013511,0.011838,0.006511,0.2151
1777312769.1807,0.011938,0.006511,0.000000,0.000000,90.2151,90.0000,0.0019,0.013598,0.011938,0.006511,0.2151
1777312769.2147,0.010236,0.002327,0.000000,0.000000,90.1993,90.0000,0.0019,0.010497,0.010236,0.002327,0.1993
1777312769.2147,0.010236,0.002327,0.000000,0.000000,90.1993,90.0000,0.0019,0.010497,0.010236,0.002327,0.1993
1777312769.2487,-0.014396,-0.006242,0.000000,0.000000,89.6568,90.0000,0.0019,0.015691,-0.014396,-0.006242,-0.3432
1777312769.2828,0.010724,0.004068,0.000000,0.000000,90.3159,90.0000,0.0019,0.011470,0.010724,0.004068,0.3159
1777312769.2828,0.010724,0.004068,0.000000,0.000000,90.3159,90.0000,0.0019,0.011470,0.010724,0.004068,0.3159
1777312769.3168,-0.006162,0.004396,0.000000,0.000000,89.8600,90.0000,0.0019,0.007569,-0.006162,0.004396,-0.1400
1777312769.3168,-0.006162,0.004396,0.000000,0.000000,89.8600,90.0000,0.0019,0.007569,-0.006162,0.004396,-0.1400
1777312769.3507,0.009044,-0.000111,0.000000,0.000000,90.1723,90.0000,0.0019,0.009045,0.009044,-0.000111,0.1723
1777312769.3846,-0.001285,0.007751,0.000000,0.000000,89.9805,90.0000,0.0019,0.007857,-0.001285,0.007751,-0.0195
1777312769.4188,0.000649,0.000472,0.000000,0.000000,90.0124,90.0000,0.0019,0.000802,0.000649,0.000472,0.0124
1777312769.4527,-0.002629,-0.005238,0.000000,0.000000,89.9409,90.0000,0.0019,0.005861,-0.002629,-0.005238,-0.0591
