Thu Jun 11 15:48:29 2026    fastslam.prof_LORANSAC3

         26344788 function calls (26077589 primitive calls) in 114.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    55926    0.120    0.000    0.120    0.000 {method 'tolist' of 'numpy.ndarray' objects}
      219    0.115    0.001    0.119    0.001 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:467(_take_subscription)
    69730    0.117    0.000    0.117    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/particlefilter.py:89(_wrap_angle)
    69729    0.116    0.000    0.116    0.000 {built-in method math.exp}
    64030    0.108    0.000    0.108    0.000 {method 'conj' of 'numpy.ndarray' objects}
    58348    0.101    0.000    0.101    0.000 {built-in method builtins.hasattr}
    68730    0.096    0.000    0.096    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2317(_any_dispatcher)
     1900    0.049    0.000    0.096    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/waitable.py:37(__add__)
    69069    0.090    0.000    0.090    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/particlefilter.py:106(<genexpr>)
    64030    0.087    0.000    0.087    0.000 /usr/lib/python3/dist-packages/numpy/linalg/linalg.py:2379(_norm_dispatcher)
    69000    0.087    0.000    0.087    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/particlefilter.py:117(<lambda>)
    55922    0.076    0.000    0.076    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:199(_ones_like_dispatcher)
    55922    0.075    0.000    0.075    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:346(where)
    55922    0.074    0.000    0.074    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:153(concatenate)
    55922    0.074    0.000    0.074    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:1080(copyto)
    55922    0.073    0.000    0.073    0.000 /usr/lib/python3/dist-packages/numpy/core/multiarray.py:85(empty_like)
    53114    0.073    0.000    0.073    0.000 <frozen _collections_abc>:341(__subclasshook__)
    55922    0.073    0.000    0.073    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:77(_atleast_2d_dispatcher)
     4000    0.052    0.000    0.052    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/particlefilter.py:86(prune_map)
      475    0.009    0.000    0.036    0.000 {method 'extend' of 'list' objects}
      139    0.028    0.000    0.036    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/cv_bridge/core.py:147(imgmsg_to_cv2)
     3230    0.013    0.000    0.031    0.000 /usr/lib/python3.12/contextlib.py:543(_push_cm_exit)
      149    0.003    0.000    0.026    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_transform_stamped.py:93(__init__)
        4    0.004    0.001    0.025    0.006 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:496(publish_pf_particles_markers)
       69    0.003    0.000    0.024    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/nav_msgs/msg/_odometry.py:100(__init__)
      632    0.008    0.000    0.024    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/std_msgs/msg/_header.py:86(__init__)
     2945    0.008    0.000    0.022    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:614(can_execute)
      228    0.004    0.000    0.020    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_transform.py:90(__init__)
   371/28    0.004    0.000    0.020    0.001 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/guard_condition.py:32(trigger)
      490    0.010    0.000    0.018    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:114(__init__)
     2354    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      438    0.002    0.000    0.016    0.000 /usr/lib/python3.12/inspect.py:420(iscoroutinefunction)
    11400    0.015    0.000    0.015    0.000 {built-in method builtins.setattr}
     2514    0.011    0.000    0.014    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/callback_groups.py:101(can_execute)
      139    0.005    0.000    0.014    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/sensor_msgs/msg/_image.py:104(__init__)
      219    0.002    0.000    0.013    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:559(_make_handler)
     3230    0.009    0.000    0.013    0.000 /usr/lib/python3.12/contextlib.py:548(_push_exit_callback)
       70    0.000    0.000    0.013    0.000 /home/kar1858/Slam/install/imglistener/lib/python3.12/site-packages/imglistener/imglistener.py:102(try_get_camera_tf)
      851    0.007    0.000    0.011    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/builtin_interfaces/msg/_time.py:82(__init__)
   150/13    0.002    0.000    0.011    0.001 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:575(handler)
